user_id,order_id,order_date,order_amount,delivery_time_mins,used_promo,delivery_fee,order_time
U0000,O727220,2023-10-20,30.14,37,1,3.83,Evening
U0000,O915948,2023-12-20,27.82,46,1,0.0,Evening
U0000,O576513,2023-07-12,7.95,10,1,2.73,Evening
U0000,O564894,2023-09-06,23.12,20,0,3.7,Afternoon
U0000,O134518,2023-07-23,28.88,24,1,4.13,Evening
U0000,O552891,2023-10-30,15.65,51,1,1.41,Evening
U0002,O408877,2023-12-25,8.94,46,0,3.72,Late Night
U0003,O217886,2023-08-14,30.59,68,1,1.43,Late Night
U0003,O952746,2023-05-21,17.66,35,1,2.99,Morning
U0003,O971868,2023-11-03,13.8,33,0,0.82,Afternoon
U0003,O573620,2023-12-04,37.22,61,1,1.19,Evening
U0004,O897622,2023-08-21,34.07,31,0,0.2,Afternoon
U0004,O759738,2023-10-16,20.71,24,1,1.66,Morning
U0004,O326727,2024-03-01,-0.17,13,0,2.95,Morning
U0004,O510925,2023-04-30,20.15,46,0,2.19,Late Night
U0005,O492720,2023-08-17,21.81,23,0,4.37,Morning
U0005,O573866,2024-01-15,24.36,26,1,0.83,Late Night
U0005,O632498,2023-10-23,33.31,32,1,3.04,Late Night
U0006,O747341,2024-01-02,26.45,25,1,0.57,Afternoon
U0006,O880926,2023-06-30,18.3,39,0,2.75,Morning
U0006,O903147,2023-09-02,22.75,25,1,3.34,Morning
U0007,O801979,2023-05-21,29.52,18,1,2.65,Evening
U0007,O909217,2024-02-02,24.67,31,0,2.43,Morning
U0008,O483395,2023-09-24,13.06,48,0,3.94,Late Night
U0008,O773218,2024-02-13,46.91,14,1,0.49,Evening
U0008,O540991,2023-06-18,38.04,10,1,3.44,Evening
U0008,O581719,2024-02-15,29.49,19,0,3.81,Evening
U0011,O928791,2024-02-16,25.28,41,0,0.5,Afternoon
U0011,O832722,2023-11-17,6.96,29,1,0.58,Afternoon
U0011,O108036,2023-07-30,-1.24,16,1,2.73,Morning
U0011,O906970,2023-06-13,23.93,41,0,1.7,Late Night
U0011,O496452,2023-06-05,51.33,10,0,1.23,Evening
U0012,O799309,2024-03-15,13.85,46,1,2.72,Morning
U0012,O256951,2023-07-10,19.78,43,1,3.67,Afternoon
U0012,O699253,2023-07-22,44.61,51,0,1.98,Late Night
U0013,O191088,2023-12-30,21.38,64,0,4.85,Evening
U0014,O364598,2024-01-02,27.4,10,0,2.89,Evening
U0014,O587505,2024-01-05,46.1,17,0,4.03,Evening
U0014,O225438,2023-07-18,36.66,31,1,0.31,Afternoon
U0014,O518734,2023-06-13,31.56,37,0,2.38,Morning
U0015,O767304,2023-11-30,16.06,24,1,0.04,Evening
U0015,O184761,2024-01-29,19.64,47,0,3.69,Morning
U0015,O881198,2023-06-16,29.21,26,1,3.29,Evening
U0016,O632893,2024-02-13,46.09,46,0,3.49,Morning
U0016,O577266,2023-07-29,6.06,38,0,2.5,Afternoon
U0016,O861019,2023-10-20,29.47,23,1,1.06,Afternoon
U0017,O987516,2024-03-01,36.5,39,0,1.1,Morning
U0017,O222258,2023-11-25,38.61,15,0,4.44,Evening
U0017,O662621,2023-12-06,38.01,32,0,3.19,Afternoon
